YEAR,MONTH,DATE,HOUR,MIN,PREDICTED,ACTUAL,ERROR,ERROR_RUN_SUM
2014,11,23,3,0,,0.02007,,
2014,11,23,4,0,,0.02029,,
2014,11,23,5,0,,0.02221,,
2014,11,23,6,0,,0.02465,,
2014,11,23,7,0,,0.02644,,
2014,11,23,8,0,,0.02579,,
2014,11,23,9,0,,0.02589,,
2014,11,23,10,0,,0.02638,,
2014,11,23,11,0,,0.0263,,
2014,11,23,12,0,,0.02653,,
2014,11,23,13,0,,0.02622,,
2014,11,23,14,0,,0.0261,,
2014,11,23,15,0,,0.02708,,
2014,11,23,16,0,,0.02973,,
2014,11,23,17,0,,0.03145,,
2014,11,23,18,0,,0.03047,,
2014,11,23,19,0,,0.03002,,
2014,11,23,20,0,,0.02861,,
2014,11,23,21,0,,0.02668,,
2014,11,23,22,0,,0.02429,,
2014,11,23,23,0,,0.02252,,
2014,11,24,0,0,,0.02139,,
2014,11,24,1,0,,0.02025,,
2014,11,24,2,0,,0.01898,,
2014,11,24,3,0,,0.02001,,
2014,11,24,4,0,,0.0207,,
2014,11,24,5,0,,0.02216,,
2014,11,24,6,0,,0.02422,,
2014,11,24,7,0,,0.02497,,
2014,11,24,8,0,,0.02584,,
2014,11,24,9,0,,0.02561,,
2014,11,24,10,0,,0.02554,,
2014,11,24,11,0,,0.02496,,
2014,11,24,12,0,,0.02468,,
2014,11,24,13,0,,0.02383,,
2014,11,24,14,0,,0.0235,,
2014,11,24,15,0,,0.02419,,
2014,11,24,16,0,,0.02716,,
2014,11,24,17,0,,0.02704,,
2014,11,24,18,0,,0.02578,,
2014,11,24,19,0,,0.02548,,
2014,11,24,20,0,,0.02448,,
2014,11,24,21,0,,0.02258,,
2014,11,24,22,0,,0.02217,,
2014,11,24,23,0,,0.02151,,
2014,11,25,0,0,,0.01857,,
2014,11,25,1,0,,0.01714,,
2014,11,25,2,0,,0.01607,,
2014,11,25,3,0,,0.01627,,
2014,11,25,4,0,,0.01756,,
2014,11,25,5,0,,0.02036,,
2014,11,25,6,0,,0.02379,,
2014,11,25,7,0,,0.02421,,
2014,11,25,8,0,,0.02498,,
2014,11,25,9,0,,0.02529,,
2014,11,25,10,0,,0.02433,,
2014,11,25,11,0,,0.02339,,
2014,11,25,12,0,,0.023,,
2014,11,25,13,0,,0.02204,,
2014,11,25,14,0,,0.02186,,
2014,11,25,15,0,,0.02204,,
2014,11,25,16,0,,0.0246,,
2014,11,25,17,0,,0.025,,
2014,11,25,18,0,,0.02437,,
2014,11,25,19,0,,0.02469,,
2014,11,25,20,0,,0.02388,,
2014,11,25,21,0,,0.02204,,
2014,11,25,22,0,,0.02202,,
2014,11,25,23,0,,0.02128,,
2014,11,26,0,0,,0.02016,,
2014,11,26,1,0,,0.01834,,
2014,11,26,2,0,,0.01813,,
2014,11,26,3,0,,0.01789,,
2014,11,26,4,0,,0.01862,,
2014,11,26,5,0,,0.02106,,
2014,11,26,6,0,,0.02524,,
2014,11,26,7,0,,0.02676,,
2014,11,26,8,0,,0.02755,,
2014,11,26,9,0,,0.02798,,
2014,11,26,10,0,,0.02672,,
2014,11,26,11,0,,0.02604,,
2014,11,26,12,0,,0.02556,,
2014,11,26,13,0,,0.02497,,
2014,11,26,14,0,,0.02474,,
2014,11,26,15,0,,0.02504,,
2014,11,26,16,0,,0.03054,,
2014,11,26,17,0,,0.03036,,
2014,11,26,18,0,,0.02843,,
2014,11,26,19,0,,0.02693,,
2014,11,26,20,0,,0.02606,,
2014,11,26,21,0,,0.02422,,
2014,11,26,22,0,,0.02339,,
2014,11,26,23,0,,0.02234,,
2014,11,27,0,0,,0.02145,,
2014,11,27,1,0,,0.02042,,
2014,11,27,2,0,,0.01953,,
2014,11,27,3,0,,0.01905,,
2014,11,27,4,0,,0.02011,,
2014,11,27,5,0,,0.02001,,
2014,11,27,6,0,,0.02236,,
2014,11,27,7,0,,0.02375,,
2014,11,27,8,0,,0.02568,,
2014,11,27,9,0,,0.02588,,
2014,11,27,10,0,,0.02521,,
2014,11,27,11,0,,0.02479,,
2014,11,27,12,0,,0.02433,,
2014,11,27,13,0,,0.02387,,
2014,11,27,14,0,,0.02383,,
2014,11,27,15,0,,0.02438,,
2014,11,27,16,0,,0.02873,,
2014,11,27,17,0,,0.02897,,
2014,11,27,18,0,,0.02865,,
2014,11,27,19,0,,0.02735,,
2014,11,27,20,0,,0.0262,,
2014,11,27,21,0,,0.02393,,
2014,11,27,22,0,,0.02379,,
2014,11,27,23,0,,0.02232,,
2014,11,28,0,0,,0.02169,,
2014,11,28,1,0,,0.02071,,
2014,11,28,2,0,,0.02077,,
2014,11,28,3,0,,0.02064,,
2014,11,28,4,0,,0.02141,,
2014,11,28,5,0,,0.02251,,
2014,11,28,6,0,,0.02338,,
2014,11,28,7,0,,0.02406,,
2014,11,28,8,0,,0.02578,,
2014,11,28,9,0,,0.02586,,
2014,11,28,10,0,,0.026,,
2014,11,28,11,0,,0.02578,,
2014,11,28,12,0,,0.02527,,
2014,11,28,13,0,,0.02471,,
2014,11,28,14,0,,0.02462,,
2014,11,28,15,0,,0.02528,,
2014,11,28,16,0,,0.03183,,
2014,11,28,17,0,,0.0327,,
2014,11,28,18,0,,0.03113,,
2014,11,28,19,0,,0.03084,,
2014,11,28,20,0,,0.02899,,
2014,11,28,21,0,,0.02593,,
2014,11,28,22,0,,0.02472,,
2014,11,28,23,0,,0.02271,,
2014,11,29,0,0,,0.02207,,
2014,11,29,1,0,,0.02194,,
2014,11,29,2,0,,0.02167,,
2014,11,29,3,0,,0.02173,,
2014,11,29,4,0,,0.02242,,
2014,11,29,5,0,,0.02471,,
2014,11,29,6,0,,0.02837,,
2014,11,29,7,0,,0.029,,
2014,11,29,8,0,,0.02971,,
2014,11,29,9,0,,0.02894,,
2014,11,29,10,0,,0.02877,,
2014,11,29,11,0,,0.02747,,
2014,11,29,12,0,,0.02641,,
2014,11,29,13,0,,0.02567,,
2014,11,29,14,0,,0.02563,,
2014,11,29,15,0,,0.02638,,
2014,11,29,16,0,,0.0345,,
2014,11,29,17,0,,0.03547,,
2014,11,29,18,0,,0.03112,,
2014,11,29,19,0,,0.02985,,
2014,11,29,20,0,,0.02873,,
2014,11,29,21,0,,0.02579,,
2014,11,29,22,0,,0.02477,,
2014,11,29,23,0,,0.02372,,
2014,11,30,0,0,,0.02303,,
2014,11,30,1,0,,0.02272,,
2014,11,30,2,0,,0.02246,,
2014,11,30,3,0,,0.02266,,
2014,11,30,4,0,,0.02359,,
2014,11,30,5,0,,0.02645,,
2014,11,30,6,0,,0.03097,,
2014,11,30,7,0,,0.0306,,
2014,11,30,8,0,,0.03072,,
2014,11,30,9,0,,0.03076,,
2014,11,30,10,0,,0.02978,,
2014,11,30,11,0,,0.02852,,
2014,11,30,12,0,,0.02784,,
2014,11,30,13,0,,0.02694,,
2014,11,30,14,0,,0.02662,,
2014,11,30,15,0,,0.02668,,
2014,11,30,16,0,,0.03293,,
2014,11,30,17,0,,0.03514,,
2014,11,30,18,0,,0.03162,,
2014,11,30,19,0,,0.03173,,
2014,11,30,20,0,,0.03037,,
2014,11,30,21,0,,0.02769,,
2014,11,30,22,0,,0.02601,,
2014,11,30,23,0,,0.02605,,
2014,11,31,0,0,,0.02503,,
2014,11,31,1,0,,0.02427,,
2014,11,31,2,0,,0.02347,,
2014,11,31,3,0,,0.0237,,
2014,11,31,4,0,,0.02538,,
2014,11,31,5,0,,0.02555,,
2014,11,31,6,0,,0.03079,,
2014,11,31,7,0,,0.03201,,
2014,11,31,8,0,,0.03309,,
2014,11,31,9,0,,0.03198,,
2014,11,31,10,0,,0.03016,,
2014,11,31,11,0,,0.02919,,
2014,11,31,12,0,,0.02789,,
2014,11,31,13,0,,0.02719,,
2014,11,31,14,0,,0.02615,,
2014,11,31,15,0,,0.02747,,
2014,11,31,16,0,,0.03058,,
2014,11,31,17,0,,0.03295,,
2014,11,31,18,0,,0.03099,,
2014,11,31,19,0,,0.02985,,
2014,11,31,20,0,,0.0293,,
2014,11,31,21,0,,0.02734,,
2014,11,31,22,0,,0.02555,,
2014,11,31,23,0,,0.02227,,
2015,0,1,0,0,,0.02198,,
2015,0,1,1,0,,0.0206,,
2015,0,1,2,0,,0.01927,,
2015,0,1,3,0,,0.01929,,
2015,0,1,4,0,,0.02013,,
2015,0,1,5,0,,0.02137,,
2015,0,1,6,0,,0.02287,,
2015,0,1,7,0,,0.02318,,
2015,0,1,8,0,,0.02412,,
2015,0,1,9,0,,0.0236,,
2015,0,1,10,0,,0.02345,,
2015,0,1,11,0,,0.02338,,
2015,0,1,12,0,,0.02295,,
2015,0,1,13,0,,0.02212,,
2015,0,1,14,0,,0.02367,,
2015,0,1,15,0,,0.02409,,
2015,0,1,16,0,,0.02795,,
2015,0,1,17,0,,0.03114,,
2015,0,1,18,0,,0.02936,,
2015,0,1,19,0,,0.02856,,
2015,0,1,20,0,,0.02751,,
2015,0,1,21,0,,0.02471,,
2015,0,1,22,0,,0.02404,,
2015,0,1,23,0,,0.0237,,
2015,0,2,0,0,,0.02312,,
2015,0,2,1,0,,0.0222,,
2015,0,2,2,0,,0.02208,,
2015,0,2,3,0,,0.02187,,
2015,0,2,4,0,,0.02287,,
2015,0,2,5,0,,0.02403,,
2015,0,2,6,0,,0.02691,,
2015,0,2,7,0,,0.0283,,
2015,0,2,8,0,,0.02918,,
2015,0,2,9,0,,0.0296,,
2015,0,2,10,0,,0.02905,,
2015,0,2,11,0,,0.02841,,
2015,0,2,12,0,,0.02746,,
2015,0,2,13,0,,0.02638,,
2015,0,2,14,0,,0.0257,,
2015,0,2,15,0,,0.02573,,
2015,0,2,16,0,,0.02862,,
2015,0,2,17,0,,0.03051,,
2015,0,2,18,0,,0.02826,,
2015,0,2,19,0,,0.02731,,
2015,0,2,20,0,,0.02634,,
